t,theta,omega,drive_force_c
31.23,-2.572431543306718,-0.2103027241572967,0.9444444444444444
31.240000000000002,-2.5744607027240103,-0.19553041629477216,0.9444444444444444
31.25,-2.576342176010337,-0.180765455036061,0.9444444444444444
31.26,-2.578076035215225,-0.1660075399050213,0.9444444444444444
31.27,-2.5796623492941553,-0.1512563689277088,0.9444444444444444
31.28,-2.5811011841300098,-0.13651163823435317,0.9444444444444444
31.29,-2.58239260257289,-0.12177304257175843,0.9444444444444444
31.3,-2.5835366644234554,-0.10704027557020761,0.9444444444444444
31.310000000000002,-2.5845334264329196,-0.09231302974349935,0.9444444444444444
31.32,-2.5853829423030534,-0.07759099648893218,0.9444444444444444
31.330000000000002,-2.58608526266831,-0.06287386639672982,0.9444444444444444
31.34,-2.586640434988472,-0.0481613302580407,0.9444444444444444
31.35,-2.5870485036154367,-0.033453078535869527,0.9444444444444444
31.36,-2.5873095098308654,-0.01874880203512891,0.9444444444444444
31.37,-2.5874234918454064,-0.0040481919538853245,0.9444444444444444
31.38,-2.587390484798696,0.010649060116599163,0.9444444444444444
31.39,-2.587210520759665,0.025343262180428157,0.9444444444444444
31.400000000000002,-2.586883628716293,0.04003472099201931,0.9444444444444444
31.41,-2.5864098345248983,0.05472374200948119,0.9444444444444444
31.42,-2.585789161014865,0.0694106292147604,0.9444444444444444
31.43,-2.5850216280182767,0.08409568475915405,0.9444444444444444
31.44,-2.584107252369916,0.09877920896335142,0.9444444444444444
31.45,-2.5830460479072643,0.11346150031739233,0.9444444444444444
31.46,-2.581838025491353,0.12814285517289334,0.9444444444444444
31.470000000000002,-2.5804831930060543,0.14282356688185416,0.9444444444444444
31.48,-2.5789815553705093,0.1575039262024806,0.9444444444444444
31.490000000000002,-2.5773331146703145,0.17218422059355432,0.9444444444444444
31.5,-2.575537870162471,0.1868647341722828,0.9444444444444444
31.51,-2.5735958182753786,0.20154574771434108,0.9444444444444444
31.52,-2.5715069526131837,0.2162275386230738,0.9444444444444444
31.53,-2.5692712640589335,0.23091037991228816,0.9444444444444444
31.54,-2.5668887406908856,0.24559454042509654,0.9444444444444444
31.55,-2.564359367962985,0.2602802843090886,0.9444444444444444
31.560000000000002,-2.5616831287774886,0.27496787063030526,0.9444444444444444
31.57,-2.558860003484965,0.28965755337325394,0.9444444444444444
31.580000000000002,-2.5558899698842885,0.3043495814409247,0.9444444444444444
31.59,-2.5527730032735376,0.3190441983475467,0.9444444444444444
31.6,-2.5495090765907933,0.33374164101426423,0.9444444444444444
31.61,-2.546098160317105,0.3484421404622167,0.9444444444444444
31.62,-2.542540222766499,0.36314592064090273,0.9444444444444444
31.63,-2.5388352301107826,0.3778531983045774,0.9444444444444444
31.64,-2.5349831463795387,0.3925641830122946,0.9444444444444444
31.650000000000002,-2.53098393346013,0.40727907712787,0.9444444444444444
31.66,-2.5268375512589687,0.421998074978192,0.9444444444444444
31.67,-2.5225439577842144,0.43672136208292694,0.9444444444444444
31.68,-2.5181031091419555,0.4514491155335961,0.9444444444444444
31.69,-2.5135149598691378,0.4661815026142354,0.9444444444444444
31.7,-2.508779462937318,0.4809186807840182,0.9444444444444444
31.71,-2.5038965697526496,0.49566079767729754,0.9444444444444444
